iea_area;area_code
World;NA
OECD Americas;NA
OECD Asia Oceania;NA
OECD Europe;NA
Africa;NA
Non-OECD Americas;NA
Middle East;NA
Non-OECD Europe and Eurasia;NA
Non-OECD Asia (excluding China);NA
China (P.R. of China and Hong Kong, China);NA
World marine bunkers;NA
World aviation bunkers;NA
Albania;3
Algeria;4
Angola;7
Argentina;9
Armenia;1
Australia;10
Austria;11
Azerbaijan;52
Bahrain;13
Bangladesh;16
Belarus;57
Belgium;255
Benin;53
Plurinational State of Bolivia;19
Bosnia and Herzegovina;80
Botswana;20
Brazil;21
Brunei Darussalam;26
Bulgaria;27
Cambodia;115
Cameroon;32
Canada;33
Chile;40
People's Republic of China;41
Colombia;44
Republic of the Congo;46
Costa Rica;48
Cote d'Ivoire;107
Croatia;98
Cuba;49
Curaçao/Netherlands Antilles;279
Cyprus;50
Czech Republic;167
Democratic People's Republic of Korea;116
Democratic Republic of the Congo;250
Denmark;54
Dominican Republic;56
Ecuador;58
Egypt;59
El Salvador;60
Equatorial Guinea;61
Eritrea;178
Estonia;63
Ethiopia;238
Finland;67
France;68
Gabon;74
Georgia;73
Germany;79
Ghana;81
Gibraltar;82
Greece;84
Guatemala;89
Haiti;93
Honduras;95
Hong Kong (China);NA
Hungary;97
Iceland;99
India;100
Indonesia;101
Islamic Republic of Iran;NA
Iraq;103
Ireland;104
Israel;105
Italy;106
Jamaica;109
Japan;110
Jordan;112
Kazakhstan;108
Kenya;114
Korea;117
Kosovo;NA
Kuwait;118
Kyrgyzstan;113
Lao People's Democratic Republic;120
Latvia;119
Lebanon;121
Libya;124
Lithuania;126
Luxembourg;256
Malaysia;131
Malta;134
Mauritius;137
Mexico;138
Republic of Moldova;146
Mongolia;141
Montenegro;273
Morocco;143
Mozambique;144
Myanmar;28
Namibia;147
Nepal;149
Netherlands;150
New Zealand;156
Nicaragua;157
Niger;158
Nigeria;159
Republic of North Macedonia;154
Norway;162
Oman;221
Pakistan;165
Panama;166
Paraguay;169
Peru;170
Philippines;171
Poland;173
Portugal;174
Qatar;179
Romania;183
Russian Federation;185
Saudi Arabia;194
Senegal;195
Serbia;272
Singapore;200
Slovak Republic;199
Slovenia;198
South Africa;202
South Sudan;277
Spain;203
Sri Lanka;38
Sudan;276
Suriname;207
Sweden;210
Switzerland;211
Syrian Arab Republic;212
Chinese Taipei;NA
Tajikistan;208
United Republic of Tanzania;215
Thailand;216
Togo;217
Trinidad and Tobago;220
Tunisia;222
Turkey;223
Turkmenistan;213
Ukraine;230
United Arab Emirates;225
United Kingdom;229
United States;231
Uruguay;234
Uzbekistan;235
Bolivarian Republic of Venezuela;236
Viet Nam;237
Yemen;249
Zambia;251
Zimbabwe;181
Former Soviet Union (if no detail);NA
Former Yugoslavia (if no detail);NA
Other Africa;NA
Other non-OECD Americas;NA
Other non-OECD Asia;NA
Memo: Greenland;85
Memo: Guyana;91
Memo: Madagascar;129
Memo: Mali;133
Memo: Palestinian Authority;299
Memo: Uganda;226
Memo: Africa (UN);NA
Memo: Americas (UN);NA
Memo: Asia (UN);NA
Memo: Europe (UN);NA
Memo: Oceania (UN);NA
Memo: OECD Total;NA
Memo: Non-OECD Total;NA
Memo: IEA Total;NA
Memo: IEA and Accession/Association countries;NA
Memo: European Union-28;NA
Memo: European Union-27;NA
Memo: FSU 15;NA
Memo: Former Yugoslavia;NA
Memo: OPEC;NA
Memo: ASEAN;NA
Memo: G7;NA
Memo: G8;NA
Memo: G20;NA
